Student Id,Off Class,Days Enrolled,Full Day Present,Full Day Absent,Half Day,Total Late,Percent Attd
218252732,10A,178,146,32,0,6,82
207603051,12A,167,166,1,0,6,99.4
219573128,190,0,0,0,0,0,0
215186602,FYS,168,137,30,1,7,82.1
219979333,12A,167,154,13,0,1,92.2
209219161,12D,167,162,5,0,1,97
215338658,FYS,167,167,0,0,0,100
214533689,FYS,167,166,1,0,2,99.4
240972380,190,178,143,35,0,3,80.3
216927640,12D,167,158,9,0,9,94.6
215457441,12D,167,155,12,0,2,92.8
221335953,10A,178,148,30,0,20,83.1
231452814,12A,172,74,92,6,21,46.5
222556615,10A,178,159,19,0,9,89.3
222897563,10A,178,151,27,0,44,84.8
224030270,10A,178,173,5,0,0,97.1
245407473,190,178,166,12,0,0,93.2
220869069,199,178,169,9,0,8,94.9
221493786,10A,178,178,0,0,1,100
216046045,11A,167,166,1,0,0,99.4
225586957,190,179,176,2,1,3,98.8
214486177,FYS,167,147,20,0,6,88
220193049,11A,150,56,94,0,0,37.3
218861235,FYS,166,164,2,0,0,98.7
208680835,12A,167,165,2,0,0,98.8
219626835,12A,167,164,3,0,0,98.2
207350869,FYS,167,165,2,0,1,98.8
243370657,11A,167,160,7,0,0,95.8
211584792,11A,167,166,1,0,1,99.4
219783222,190,178,176,2,0,0,98.8
220775779,190,0,0,0,0,0,0
215932310,10A,31,23,8,0,0,74.1
221231517,190,179,177,1,1,0,99.4
237433123,11A,167,166,1,0,0,99.4
217108653,12A,167,167,0,0,0,100
224702480,199,140,127,13,0,16,90.7
219826146,190,178,166,12,0,34,93.2
233766443,190,178,174,4,0,2,97.7
214978132,FYS,168,110,57,1,27,66
237191705,190,178,159,19,0,0,89.3
216091991,12A,167,159,8,0,1,95.2
220578439,190,177,176,1,0,2,99.4
221698236,190,178,175,3,0,7,98.3
206547598,12D,167,164,3,0,4,98.2
244846531,12A,167,164,3,0,0,98.2
218560118,12A,167,166,1,0,0,99.4
214643397,12A,167,160,7,0,7,95.8
216036764,11A,168,162,5,1,1,97
215706300,12D,167,162,5,0,1,97
235461415,12A,167,139,28,0,1,83.2
209076900,FYS,166,162,4,0,0,97.5
233070978,190,178,175,3,0,6,98.3
229204458,190,178,174,4,0,0,97.7
208946087,FYS,167,167,0,0,3,100
239795701,11A,167,138,29,0,19,82.6
222780975,10A,178,171,7,0,25,96
208764845,FYS,167,163,4,0,0,97.6
220156962,199,178,177,1,0,0,99.4
215767617,12A,167,164,3,0,0,98.2
209088772,12A,167,157,10,0,1,94
216128801,FYS,167,167,0,0,0,100
223200205,10A,178,178,0,0,14,100
209173756,FYS,167,141,26,0,22,84.4
220925275,10A,178,169,9,0,4,94.9
208061788,10D,178,151,27,0,8,84.8
208968321,FYS,167,150,17,0,26,89.8
217767607,12A,167,167,0,0,1,100
215994971,12A,167,161,6,0,0,96.4
219996923,11A,167,165,2,0,0,98.8
209903624,FYS,167,128,39,0,22,76.6
239893373,190,178,176,2,0,0,98.8
215779943,12A,166,156,10,0,5,93.9
216517144,12A,167,148,19,0,0,88.6
225865278,190,178,172,6,0,0,96.6
221286198,10A,178,174,4,0,0,97.7
206548968,12A,166,164,2,0,0,98.7
221909922,0,178,167,11,0,16,93.8
214467565,FYS,167,167,0,0,0,100
224422501,199,178,175,3,0,1,98.3
220690861,0,178,168,10,0,0,94.3
225587062,190,178,173,5,0,7,97.1
209170976,11A,168,160,7,1,0,95.8
227171097,12A,67,48,18,1,2,73.1
223695032,10A,178,139,39,0,11,78
224665240,0,177,169,8,0,2,95.4
220281463,11D,173,166,7,0,1,95.9
215364704,12D,167,163,4,0,0,97.6
223073354,10A,178,174,4,0,0,97.7
217447986,12A,167,157,10,0,0,94
230598427,190,178,178,0,0,0,100
220785109,11A,167,137,30,0,0,82
214664377,FYS,166,166,0,0,0,100
219697349,11D,167,162,5,0,0,97
219702420,11A,167,164,3,0,0,98.2
217115575,12D,167,161,6,0,2,96.4
226084531,190,178,177,1,0,1,99.4
221335151,10A,176,171,5,0,3,97.1
220822290,11A,167,163,4,0,2,97.6
216907519,11A,167,162,5,0,0,97
220110043,12A,167,166,1,0,2,99.4
223457607,10A,178,169,9,0,33,94.9
217442177,11A,167,162,5,0,0,97
217021260,12A,167,162,5,0,0,97
220239032,10A,178,149,29,0,60,83.7
240873893,12A,167,163,4,0,3,97.6
209312636,FYS,167,161,6,0,0,96.4
220640775,10D,178,153,25,0,1,85.9
214367831,FYS,167,104,63,0,10,62.2
215574658,FYS,171,110,57,4,15,66.6
216443549,12D,167,165,2,0,0,98.8
227178167,10A,178,178,0,0,10,100
221321243,10A,178,174,4,0,0,97.7
220309694,11A,167,144,23,0,0,86.2
209266832,FYS,168,153,14,1,11,91.6
219720067,11A,167,160,7,0,0,95.8
229108428,190,179,175,3,1,0,98.3
228527644,190,178,178,0,0,2,100
220741094,11A,167,164,3,0,0,98.2
206341604,12A,167,163,4,0,0,97.6
218658458,12A,166,165,1,0,0,99.3
215886276,12D,167,167,0,0,0,100
224297192,190,179,176,2,1,4,98.8
214104770,12A,167,165,2,0,3,98.8
224565945,0,0,0,0,0,0,0
235311818,10A,178,175,3,0,0,98.3
220962518,10A,178,169,9,0,1,94.9
243991627,11A,167,163,4,0,1,97.6
219978707,11A,167,137,30,0,2,82
216346841,10A,178,171,7,0,0,96
217453505,11A,167,156,11,0,0,93.4
249489378,190,16,15,1,0,0,93.7
219709912,11A,167,166,1,0,1,99.4
215867169,12A,167,163,4,0,11,97.6
214323982,12A,167,162,5,0,0,97
209423748,FYS,167,157,10,0,0,94
224820399,190,178,174,4,0,0,97.7
215390063,12A,167,157,10,0,22,94
228527636,190,178,156,22,0,0,87.6
214452336,12D,167,167,0,0,0,100
219744133,11A,167,153,14,0,0,91.6
215884347,12A,167,165,2,0,0,98.8
214451551,12A,167,157,10,0,1,94
208771592,FYS,168,139,28,1,7,83.3
221036437,10A,178,166,12,0,9,93.2
217990290,10A,178,171,7,0,1,96
223064361,10A,178,178,0,0,0,100
220272256,11A,167,166,1,0,0,99.4
220431209,11A,167,167,0,0,1,100
229406152,190,178,173,5,0,1,97.1
216736363,12A,167,160,7,0,1,95.8
216236802,12D,167,164,3,0,1,98.2
214125726,12A,166,152,14,0,0,91.5
238941181,10A,178,178,0,0,6,100
215361429,12A,166,166,0,0,0,100
219205879,10D,178,171,7,0,24,96
209930403,FYS,167,151,16,0,21,90.4
214832487,10A,178,173,5,0,45,97.1
221463706,12A,167,166,1,0,0,99.4
207467879,FYS,167,136,31,0,3,81.4
217271188,11A,167,164,3,0,3,98.2
233448398,12A,167,147,20,0,4,88
229589569,190,178,171,7,0,2,96
225741420,199,177,176,1,0,6,99.4
229069570,190,178,178,0,0,0,100
222482630,10A,178,130,48,0,3,73
220430649,11A,167,167,0,0,1,100
221044134,10A,178,171,7,0,3,96
226809838,10A,178,174,4,0,3,97.7
229149208,0,178,146,32,0,57,82
226580421,10A,178,147,31,0,53,82.5
220271563,11A,167,165,2,0,0,98.8
233600055,190,178,173,5,0,6,97.1
225787878,190,178,173,5,0,0,97.1
220230858,190,178,170,8,0,0,95.5
235671567,190,178,171,7,0,24,96
214380867,10A,178,172,6,0,0,96.6
214381196,FYS,166,154,12,0,0,92.7
221321938,10A,178,176,2,0,0,98.8
220177869,11A,167,147,20,0,0,88
217443183,12A,167,167,0,0,3,100
221340524,10A,178,172,6,0,1,96.6
225237940,190,178,176,2,0,0,98.8
220322440,11A,168,161,5,2,5,97
221045032,10A,178,169,9,0,20,94.9
244846549,12A,167,148,19,0,18,88.6
227253606,0,0,0,0,0,0,0
217192665,12A,167,160,7,0,3,95.8
219594132,11A,167,167,0,0,0,100
219703188,11A,167,166,1,0,0,99.4
214344012,11A,173,166,7,0,0,95.9
221337140,190,176,176,0,0,8,100
229399746,190,178,175,3,0,0,98.3
218630291,12A,167,160,7,0,0,95.8
219761707,11A,167,141,26,0,2,84.4
217946292,11D,167,125,42,0,7,74.8
209193820,FYS,168,159,8,1,5,95.2
220343784,0,178,166,12,0,0,93.2
220826358,12A,167,144,23,0,12,86.2
217266857,12A,167,151,16,0,1,90.4
221223720,10A,178,176,2,0,30,98.8
221130057,0,22,19,3,0,0,86.3
215883950,12A,167,164,3,0,0,98.2
208593269,FYS,167,159,8,0,7,95.2
225049261,190,178,174,4,0,5,97.7
225462837,10A,0,0,0,0,0,0
238550826,190,115,111,4,0,1,96.5
209267160,FYS,38,38,0,0,0,100
247280217,190,115,114,1,0,1,99.1
218602704,10A,110,110,0,0,3,100
215902784,12A,110,110,0,0,1,100
217856194,10A,110,107,3,0,1,97.2
224566059,190,115,115,0,0,2,100
227994597,0,15,15,0,0,0,100
235293644,12A,110,110,0,0,5,100
221317076,10A,110,109,1,0,0,99
223041351,10A,110,108,2,0,0,98.1
215795931,11A,110,102,8,0,1,92.7
219699303,11A,110,109,1,0,0,99
226809945,190,115,112,3,0,3,97.3
224702423,190,0,0,0,0,0,0
221320880,10A,109,106,3,0,0,97.2
218792398,12A,110,109,1,0,0,99
225896174,11A,110,110,0,0,0,100
220178024,11A,111,108,2,1,0,98.1
225573294,0,115,101,14,0,14,87.8
240870212,190,115,115,0,0,0,100
208652768,FYS,110,103,7,0,0,93.6
207532482,FYS,38,38,0,0,0,100
215259300,12A,110,109,1,0,3,99
224281527,190,115,109,6,0,0,94.7
215015157,12A,110,109,1,0,0,99
220138630,FYS,38,38,0,0,0,100
215092461,FYS,38,38,0,0,0,100
225122522,190,115,113,2,0,0,98.2
223992959,10A,110,108,2,0,1,98.1
215578295,FYS,110,33,77,0,2,30
243722998,190,115,114,1,0,2,99.1
215983347,11A,110,105,5,0,2,95.4
227223328,190,0,0,0,0,0,0
224284182,190,115,115,0,0,0,100
232778670,199,115,103,12,0,4,89.5
223125055,10D,110,109,1,0,0,99
222688905,190,115,114,1,0,34,99.1
229136585,11A,110,103,7,0,2,93.6
210575643,12A,110,107,3,0,5,97.2
215941683,11A,110,98,12,0,1,89
221333248,10A,111,106,4,1,3,96.3
224565176,190,115,115,0,0,0,100
215439407,11D,110,99,11,0,0,90
246884522,11A,110,106,4,0,0,96.3
247913817,10A,110,106,4,0,0,96.3
231558644,190,115,108,7,0,49,93.9
209025923,FYS,38,38,0,0,0,100
245004429,10A,110,106,4,0,1,96.3
243703584,11A,110,110,0,0,0,100
219748233,11A,110,105,5,0,0,95.4
223724915,10A,110,110,0,0,0,100
239543150,FYS,38,38,0,0,0,100
249662438,10A,110,100,10,0,0,90.9
227438447,190,115,114,1,0,0,99.1
214207425,12A,110,98,12,0,1,89
230397564,190,115,106,9,0,0,92.1
209288695,FYS,38,38,0,0,0,100
222555377,10A,110,105,5,0,0,95.4
217064237,12A,111,107,3,1,0,97.2
220105902,11D,110,103,7,0,2,93.6
214952152,11A,110,110,0,0,0,100
217939511,11A,110,110,0,0,0,100
214864449,190,115,113,2,0,0,98.2
223145160,0,109,75,34,0,0,68.8
218605244,12A,110,103,7,0,3,93.6
215298001,12A,110,90,20,0,13,81.8
217608058,10A,110,109,1,0,0,99
208536409,12D,110,98,12,0,1,89
216280271,11A,111,98,12,1,1,89.1
214708513,11D,110,109,1,0,1,99
222827081,10A,110,105,5,0,3,95.4
208699256,FYS,110,108,2,0,3,98.1
217266865,12A,110,109,1,0,13,99
225180520,0,115,100,15,0,4,86.9
221316409,10A,72,71,1,0,1,98.6
233638790,190,115,115,0,0,0,100
221322225,10A,110,108,2,0,0,98.1
226084390,190,115,112,3,0,2,97.3
223451907,0,10,10,0,0,0,100
216878447,12A,110,108,2,0,2,98.1
203532015,10A,110,107,3,0,0,97.2
208799304,FYS,38,38,0,0,0,100
219726635,11A,110,81,28,1,33,74.5
222216806,11A,111,89,21,1,4,81
225122639,190,115,111,4,0,39,96.5
209094366,12D,110,91,19,0,7,82.7
225668276,10A,110,110,0,0,1,100
215192287,11A,110,110,0,0,0,100
231462557,10A,110,110,0,0,0,100
219709904,11A,110,109,1,0,0,99
222342073,11A,110,110,0,0,0,100
214309502,FYS,109,108,1,0,0,99
220195267,11A,110,105,5,0,0,95.4
240039024,12A,110,101,9,0,0,91.8
212163596,12A,110,110,0,0,1,100
221277874,190,0,0,0,0,0,0
220459002,11A,110,110,0,0,1,100
219606209,11A,110,102,8,0,0,92.7
221540297,190,115,113,2,0,0,98.2
222780777,199,115,102,13,0,55,88.6
219219235,10A,110,106,4,0,1,96.3
217108224,12A,110,103,7,0,0,93.6
219538261,11A,110,107,3,0,0,97.2
218531184,10D,110,106,4,0,1,96.3
244736369,12A,110,101,9,0,4,91.8
219895497,11A,110,105,5,0,0,95.4
213312861,FYS,38,38,0,0,0,100
220674287,10D,110,108,2,0,1,98.1
218264885,11D,110,107,3,0,0,97.2
215328238,FYS,110,104,6,0,2,94.5
216834234,12A,110,100,10,0,1,90.9
208999573,FYS,110,110,0,0,0,100
220216873,11A,110,110,0,0,0,100
216046219,11D,110,107,3,0,0,97.2
218738029,10A,110,107,3,0,0,97.2
219709870,11A,110,108,2,0,0,98.1
239947898,11A,110,87,23,0,4,79
237512231,11A,110,105,5,0,2,95.4
226604429,190,115,110,5,0,8,95.6
233584689,190,115,114,1,0,1,99.1
220365209,10D,110,101,9,0,2,91.8
238550735,11A,110,106,4,0,0,96.3
223959164,190,115,112,3,0,1,97.3
230329286,190,115,102,13,0,49,88.6
214435091,FYS,110,106,4,0,5,96.3
222781213,10A,110,107,3,0,3,97.2
219928728,11D,110,107,3,0,4,97.2
216862979,10A,110,110,0,0,0,100
214434540,11D,110,110,0,0,0,100
223249996,10A,110,108,2,0,0,98.1
246068589,190,115,111,4,0,4,96.5
221063100,10A,110,109,1,0,0,99
207243940,12A,110,110,0,0,0,100
221318272,10A,110,109,1,0,0,99
225695139,190,115,113,2,0,2,98.2
221128408,11A,110,96,14,0,2,87.2
220154744,11A,110,98,12,0,0,89
226188456,10A,110,63,47,0,0,57.2
219627031,11A,111,109,1,1,1,99
219688637,11A,110,107,3,0,0,97.2
228583332,190,115,113,2,0,7,98.2
220348486,11A,111,105,5,1,1,95.4
220083885,11D,110,99,11,0,3,90
221021108,10A,110,108,2,0,0,98.1
214534000,FYS,110,94,16,0,2,85.4
214510158,FYS,110,109,1,0,15,99
209097120,FYS,110,94,16,0,8,85.4
233320548,11D,110,89,21,0,0,80.9
215430869,FYS,110,109,1,0,0,99
216825604,12A,110,107,3,0,1,97.2
216736470,12A,110,101,9,0,0,91.8
214534018,11A,110,76,34,0,15,69
220791941,199,115,104,11,0,0,90.4
247239874,190,115,115,0,0,0,100
208517334,FYS,110,106,4,0,3,96.3
227958345,190,115,115,0,0,0,100
209284785,FYS,38,38,0,0,0,100
217302165,10A,47,31,16,0,0,65.9
216028555,11A,110,109,1,0,0,99
228527537,0,115,112,3,0,0,97.3
